Start,End,Regularity,Steps,Movements per hour,Time in bed (seconds),Time asleep (seconds),Time before sleep (seconds),Window start,Window stop,Snore time,Sleep Quality
23.26.00,06.11.00,0,8350,35.0,24289.2,22993.8,161.9,06.00.00,06.00.00,92.0,60
22.10.00,06.10.00,0,4746,78.6,28810.2,25160.9,192.1,05.50.00,05.50.00,0.0,73
21.43.00,06.10.00,96,4007,60.5,30461.5,28430.8,203.1,05.50.00,05.50.00,74.0,86
23.11.00,06.13.00,92,6578,45.2,25327.6,23132.5,168.9,05.50.00,05.50.00,0.0,77
23.12.00,06.20.00,94,4913,44.6,25698.4,22614.6,171.3,05.50.00,05.50.00,188.0,78
01.25.00,08.43.00,80,4020,58.0,26278.2,20759.8,175.2,05.50.00,05.50.00,0.0,72
22.41.00,06.22.00,58,5133,64.0,27705.2,24565.2,184.7,05.50.00,05.50.00,0.0,73
22.39.00,06.00.00,77,4927,51.0,26488.8,22780.4,176.6,05.50.00,05.50.00,279.0,78
22.36.00,06.03.00,98,6637,43.5,26819.9,25925.9,178.8,05.50.00,05.50.00,0.0,84
23.15.00,06.33.00,95,4298,31.6,26304.2,23761.4,175.4,06.35.00,06.35.00,0.0,88
00.21.00,08.19.00,83,4741,69.0,28708.4,26603.1,191.4,06.35.00,06.35.00,516.0,71
22.49.00,06.09.00,73,6110,56.5,26417.5,22190.7,176.1,05.50.00,05.50.00,617.0,73
22.31.00,05.43.00,82,3999,52.4,25882.0,23466.4,172.5,05.35.00,05.35.00,0.0,74
22.57.00,06.01.00,86,5811,49.1,25422.7,22711.0,169.5,05.50.00,05.50.00,0.0,75
22.24.00,06.10.00,94,5256,34.9,27976.8,26111.6,186.5,05.50.00,05.50.00,243.0,92
21.58.00,06.12.00,95,5286,68.2,29627.1,26664.3,1185.1,05.50.00,05.50.00,239.0,73
23.28.00,06.39.00,91,4188,35.0,25888.3,23299.5,172.6,06.30.00,06.30.00,0.0,85
22.27.00,07.02.00,89,11111,40.3,30908.4,28538.8,206.1,06.30.00,06.30.00,0.0,97
22.34.00,06.11.00,88,11651,56.3,27427.0,24501.4,182.8,05.50.00,05.50.00,0.0,75
22.45.00,06.11.00,93,7521,39.7,26737.4,24865.8,178.2,05.50.00,05.50.00,0.0,84
21.47.00,06.47.00,92,7373,40.4,32414.1,29929.0,216.1,06.30.00,06.30.00,784.0,100
22.28.00,05.41.00,90,703,48.8,25941.1,22828.2,172.9,05.50.00,05.50.00,0.0,75
21.51.00,07.10.00,85,7657,56.6,33543.0,28846.9,2124.4,06.30.00,06.30.00,468.0,87
